uniqPhages,uniqSpecies,Infectivity
1.020.O.,Shewanella sp. 10N.7,NoInf
1.020.O.,Vibrio alginolyticus,NoInf
1.020.O.,Vibrio anguillarum,NoInf
1.020.O.,Vibrio breoganii,NoInf
1.020.O.,Vibrio cyclitrophicus,NoInf
1.020.O.,Vibrio jasicida,NoInf
1.020.O.,Vibrio kanaloae,NoInf
1.020.O.,Vibrio lentus,Inf
1.020.O.,Vibrio parahaemolyticus,NoInf
1.020.O.,Vibrio sp. 10N.1,NoInf
1.020.O.,Vibrio sp. 10N.2,NoInf
1.020.O.,Vibrio sp. 10N.3,NoInf
1.020.O.,Vibrio sp. 10N.4,NoInf
1.020.O.,Vibrio sp. 10N.5,NoInf
1.020.O.,Vibrio sp. F12,NoInf
1.020.O.,Vibrio sp. F13,NoInf
1.020.O.,Vibrio splendidus,NoInf
1.020.O.,Vibrio tasmaniensis,Inf
1.020.O.,Vibrio vulnificus,NoInf
1.021.A.,Aliivibrio fischeri,NoInf
1.021.A.,Enterovibrio norvegicus,NoInf
1.021.A.,Shewanella sp. 10N.6,NoInf
1.021.A.,Shewanella sp. 10N.7,NoInf
1.021.A.,Vibrio alginolyticus,NoInf
1.021.A.,Vibrio anguillarum,NoInf
1.021.A.,Vibrio breoganii,NoInf
1.021.A.,Vibrio cyclitrophicus,NoInf
1.021.A.,Vibrio jasicida,NoInf
1.021.A.,Vibrio kanaloae,NoInf
1.021.A.,Vibrio lentus,NoInf
1.021.A.,Vibrio parahaemolyticus,NoInf
1.021.A.,Vibrio sp. 10N.1,NoInf
1.021.A.,Vibrio sp. 10N.2,NoInf
1.021.A.,Vibrio sp. 10N.3,NoInf
1.021.A.,Vibrio sp. 10N.4,NoInf
1.021.A.,Vibrio sp. 10N.5,NoInf
1.021.A.,Vibrio sp. F12,NoInf
1.021.A.,Vibrio sp. F13,NoInf
1.021.A.,Vibrio splendidus,Inf
1.021.A.,Vibrio tasmaniensis,NoInf
1.021.A.,Vibrio vulnificus,NoInf
1.022.O.,Aliivibrio fischeri,NoInf
1.022.O.,Enterovibrio norvegicus,NoInf
1.022.O.,Shewanella sp. 10N.6,NoInf
1.022.O.,Shewanella sp. 10N.7,NoInf
1.022.O.,Vibrio alginolyticus,NoInf
1.022.O.,Vibrio anguillarum,NoInf
1.022.O.,Vibrio breoganii,NoInf
1.022.O.,Vibrio cyclitrophicus,NoInf
1.022.O.,Vibrio jasicida,NoInf
1.022.O.,Vibrio kanaloae,NoInf
1.022.O.,Vibrio lentus,NoInf
1.022.O.,Vibrio parahaemolyticus,NoInf
1.022.O.,Vibrio sp. 10N.1,NoInf
1.022.O.,Vibrio sp. 10N.2,NoInf
1.022.O.,Vibrio sp. 10N.3,NoInf
1.022.O.,Vibrio sp. 10N.4,NoInf
1.022.O.,Vibrio sp. 10N.5,NoInf
1.022.O.,Vibrio sp. F12,NoInf
1.022.O.,Vibrio sp. F13,NoInf
1.022.O.,Vibrio splendidus,Inf
1.022.O.,Vibrio tasmaniensis,NoInf
1.022.O.,Vibrio vulnificus,NoInf
1.023.O.,Aliivibrio fischeri,NoInf
1.023.O.,Enterovibrio norvegicus,NoInf
1.023.O.,Shewanella sp. 10N.6,NoInf
1.023.O.,Shewanella sp. 10N.7,NoInf
1.023.O.,Vibrio alginolyticus,NoInf
1.023.O.,Vibrio anguillarum,NoInf
1.023.O.,Vibrio breoganii,NoInf
1.023.O.,Vibrio cyclitrophicus,NoInf
1.023.O.,Vibrio jasicida,NoInf
1.023.O.,Vibrio kanaloae,NoInf
1.023.O.,Vibrio lentus,NoInf
1.023.O.,Vibrio parahaemolyticus,NoInf
1.023.O.,Vibrio sp. 10N.1,NoInf
1.023.O.,Vibrio sp. 10N.2,NoInf
1.023.O.,Vibrio sp. 10N.3,NoInf
1.023.O.,Vibrio sp. 10N.4,NoInf
1.023.O.,Vibrio sp. 10N.5,NoInf
1.023.O.,Vibrio sp. F12,NoInf
1.023.O.,Vibrio sp. F13,NoInf
1.023.O.,Vibrio splendidus,Inf
1.023.O.,Vibrio tasmaniensis,NoInf
1.023.O.,Vibrio vulnificus,NoInf
1.024.O.,Aliivibrio fischeri,NoInf
1.024.O.,Enterovibrio norvegicus,NoInf
1.024.O.,Shewanella sp. 10N.6,NoInf
1.024.O.,Shewanella sp. 10N.7,NoInf
1.024.O.,Vibrio alginolyticus,NoInf
1.024.O.,Vibrio anguillarum,NoInf
1.024.O.,Vibrio breoganii,NoInf
1.024.O.,Vibrio cyclitrophicus,NoInf
1.024.O.,Vibrio jasicida,NoInf
1.024.O.,Vibrio kanaloae,NoInf
1.024.O.,Vibrio lentus,Inf
1.024.O.,Vibrio parahaemolyticus,NoInf
1.024.O.,Vibrio sp. 10N.1,NoInf
1.024.O.,Vibrio sp. 10N.2,NoInf
1.024.O.,Vibrio sp. 10N.3,NoInf
1.024.O.,Vibrio sp. 10N.4,NoInf
1.024.O.,Vibrio sp. 10N.5,NoInf
1.024.O.,Vibrio sp. F12,NoInf
1.024.O.,Vibrio sp. F13,NoInf
1.024.O.,Vibrio splendidus,NoInf
1.024.O.,Vibrio tasmaniensis,NoInf
1.024.O.,Vibrio vulnificus,NoInf
1.025.O.,Aliivibrio fischeri,NoInf
1.025.O.,Enterovibrio norvegicus,NoInf
1.025.O.,Shewanella sp. 10N.6,NoInf
1.025.O.,Shewanella sp. 10N.7,NoInf
1.025.O.,Vibrio alginolyticus,NoInf
1.025.O.,Vibrio anguillarum,NoInf
1.025.O.,Vibrio breoganii,NoInf
1.025.O.,Vibrio cyclitrophicus,NoInf
1.025.O.,Vibrio jasicida,NoInf
1.025.O.,Vibrio kanaloae,NoInf
1.025.O.,Vibrio lentus,NoInf
1.025.O.,Vibrio parahaemolyticus,NoInf
1.025.O.,Vibrio sp. 10N.1,NoInf
1.025.O.,Vibrio sp. 10N.2,NoInf
1.025.O.,Vibrio sp. 10N.3,NoInf
1.025.O.,Vibrio sp. 10N.4,NoInf
1.025.O.,Vibrio sp. 10N.5,NoInf
1.025.O.,Vibrio sp. F12,NoInf
1.025.O.,Vibrio sp. F13,NoInf
1.025.O.,Vibrio splendidus,Inf
1.025.O.,Vibrio tasmaniensis,NoInf
1.025.O.,Vibrio vulnificus,NoInf
1.026.O.,Aliivibrio fischeri,NoInf
1.026.O.,Enterovibrio norvegicus,NoInf
1.026.O.,Shewanella sp. 10N.6,NoInf
1.026.O.,Shewanella sp. 10N.7,NoInf
1.026.O.,Vibrio alginolyticus,NoInf
1.026.O.,Vibrio anguillarum,NoInf
1.026.O.,Vibrio breoganii,NoInf
1.026.O.,Vibrio cyclitrophicus,NoInf
1.026.O.,Vibrio jasicida,NoInf
1.026.O.,Vibrio kanaloae,NoInf
1.026.O.,Vibrio lentus,NoInf
1.026.O.,Vibrio parahaemolyticus,NoInf
1.026.O.,Vibrio sp. 10N.1,NoInf
1.026.O.,Vibrio sp. 10N.2,NoInf
1.026.O.,Vibrio sp. 10N.3,NoInf
1.026.O.,Vibrio sp. 10N.4,NoInf
1.026.O.,Vibrio sp. 10N.5,NoInf
1.026.O.,Vibrio sp. F12,NoInf
1.026.O.,Vibrio sp. F13,NoInf
1.026.O.,Vibrio splendidus,Inf
1.026.O.,Vibrio tasmaniensis,NoInf
1.026.O.,Vibrio vulnificus,NoInf
1.027.O.,Aliivibrio fischeri,NoInf
1.027.O.,Enterovibrio norvegicus,NoInf
1.027.O.,Shewanella sp. 10N.6,NoInf
1.027.O.,Shewanella sp. 10N.7,NoInf
1.027.O.,Vibrio alginolyticus,NoInf
1.027.O.,Vibrio anguillarum,NoInf
1.027.O.,Vibrio breoganii,NoInf
1.027.O.,Vibrio cyclitrophicus,NoInf
1.027.O.,Vibrio jasicida,NoInf
1.027.O.,Vibrio kanaloae,NoInf
1.027.O.,Vibrio lentus,Inf
1.027.O.,Vibrio parahaemolyticus,NoInf
1.027.O.,Vibrio sp. 10N.1,NoInf
1.027.O.,Vibrio sp. 10N.2,NoInf
1.027.O.,Vibrio sp. 10N.3,NoInf
1.027.O.,Vibrio sp. 10N.4,NoInf
1.027.O.,Vibrio sp. 10N.5,NoInf
1.027.O.,Vibrio sp. F12,NoInf
1.027.O.,Vibrio sp. F13,NoInf
1.027.O.,Vibrio splendidus,NoInf
1.027.O.,Vibrio tasmaniensis,NoInf
1.027.O.,Vibrio vulnificus,NoInf
1.028.O.,Aliivibrio fischeri,NoInf
1.028.O.,Enterovibrio norvegicus,NoInf
1.028.O.,Shewanella sp. 10N.6,NoInf
1.028.O.,Shewanella sp. 10N.7,NoInf
1.028.O.,Vibrio alginolyticus,NoInf
1.028.O.,Vibrio anguillarum,NoInf
1.028.O.,Vibrio breoganii,NoInf
1.028.O.,Vibrio cyclitrophicus,NoInf
1.028.O.,Vibrio jasicida,NoInf
1.028.O.,Vibrio kanaloae,NoInf
1.028.O.,Vibrio lentus,NoInf
1.028.O.,Vibrio parahaemolyticus,NoInf
1.028.O.,Vibrio sp. 10N.1,Inf
1.028.O.,Vibrio sp. 10N.2,NoInf
1.028.O.,Vibrio sp. 10N.3,NoInf
1.028.O.,Vibrio sp. 10N.4,NoInf
1.028.O.,Vibrio sp. 10N.5,NoInf
1.028.O.,Vibrio sp. F12,NoInf
1.028.O.,Vibrio sp. F13,NoInf
1.028.O.,Vibrio splendidus,NoInf
1.028.O.,Vibrio tasmaniensis,NoInf
1.028.O.,Vibrio vulnificus,NoInf
1.029.O.,Aliivibrio fischeri,NoInf
1.029.O.,Enterovibrio norvegicus,NoInf
1.029.O.,Shewanella sp. 10N.6,NoInf
1.029.O.,Shewanella sp. 10N.7,NoInf
1.029.O.,Vibrio alginolyticus,NoInf
1.029.O.,Vibrio anguillarum,NoInf
1.029.O.,Vibrio breoganii,NoInf
1.029.O.,Vibrio cyclitrophicus,NoInf
1.029.O.,Vibrio jasicida,NoInf
1.029.O.,Vibrio kanaloae,NoInf
1.029.O.,Vibrio lentus,NoInf
1.029.O.,Vibrio parahaemolyticus,NoInf
1.029.O.,Vibrio sp. 10N.1,NoInf
1.029.O.,Vibrio sp. 10N.2,NoInf
1.029.O.,Vibrio sp. 10N.3,NoInf
1.029.O.,Vibrio sp. 10N.4,Inf
1.029.O.,Vibrio sp. 10N.5,NoInf
1.029.O.,Vibrio sp. F12,NoInf
1.029.O.,Vibrio sp. F13,NoInf
1.029.O.,Vibrio splendidus,NoInf
1.029.O.,Vibrio tasmaniensis,NoInf
1.029.O.,Vibrio vulnificus,NoInf
1.030.O.,Aliivibrio fischeri,NoInf
1.030.O.,Enterovibrio norvegicus,NoInf
1.030.O.,Shewanella sp. 10N.6,NoInf
1.030.O.,Shewanella sp. 10N.7,NoInf
1.030.O.,Vibrio alginolyticus,NoInf
1.030.O.,Vibrio anguillarum,NoInf
1.030.O.,Vibrio breoganii,NoInf
1.030.O.,Vibrio cyclitrophicus,NoInf
1.030.O.,Vibrio jasicida,NoInf
1.030.O.,Vibrio kanaloae,NoInf
1.030.O.,Vibrio lentus,NoInf
1.030.O.,Vibrio parahaemolyticus,NoInf
1.030.O.,Vibrio sp. 10N.1,NoInf
1.030.O.,Vibrio sp. 10N.2,NoInf
1.030.O.,Vibrio sp. 10N.3,NoInf
1.030.O.,Vibrio sp. 10N.4,NoInf
1.030.O.,Vibrio sp. 10N.5,NoInf
1.030.O.,Vibrio sp. F12,NoInf
1.030.O.,Vibrio sp. F13,Inf
1.030.O.,Vibrio splendidus,NoInf
1.030.O.,Vibrio tasmaniensis,NoInf
1.030.O.,Vibrio vulnificus,NoInf
1.031.O.,Aliivibrio fischeri,NoInf
1.031.O.,Enterovibrio norvegicus,NoInf
1.031.O.,Shewanella sp. 10N.6,NoInf
1.031.O.,Shewanella sp. 10N.7,NoInf
1.031.O.,Vibrio alginolyticus,NoInf
1.031.O.,Vibrio anguillarum,NoInf
1.031.O.,Vibrio breoganii,NoInf
1.031.O.,Vibrio cyclitrophicus,NoInf
1.031.O.,Vibrio jasicida,NoInf
1.031.O.,Vibrio kanaloae,NoInf
1.031.O.,Vibrio lentus,Inf
1.031.O.,Vibrio parahaemolyticus,NoInf
1.031.O.,Vibrio sp. 10N.1,NoInf
1.031.O.,Vibrio sp. 10N.2,NoInf
1.031.O.,Vibrio sp. 10N.3,NoInf
1.031.O.,Vibrio sp. 10N.4,NoInf
1.031.O.,Vibrio sp. 10N.5,NoInf
1.031.O.,Vibrio sp. F12,NoInf
1.031.O.,Vibrio sp. F13,NoInf
1.031.O.,Vibrio splendidus,NoInf
1.031.O.,Vibrio tasmaniensis,NoInf
1.031.O.,Vibrio vulnificus,NoInf
1.032.O.,Aliivibrio fischeri,NoInf
1.032.O.,Enterovibrio norvegicus,NoInf
1.032.O.,Shewanella sp. 10N.6,NoInf
1.032.O.,Shewanella sp. 10N.7,NoInf
1.032.O.,Vibrio alginolyticus,NoInf
1.032.O.,Vibrio anguillarum,NoInf
1.032.O.,Vibrio breoganii,NoInf
1.032.O.,Vibrio cyclitrophicus,NoInf
1.032.O.,Vibrio jasicida,NoInf
1.032.O.,Vibrio kanaloae,NoInf
1.032.O.,Vibrio lentus,NoInf
1.032.O.,Vibrio parahaemolyticus,NoInf
1.032.O.,Vibrio sp. 10N.1,NoInf
1.032.O.,Vibrio sp. 10N.2,NoInf
1.032.O.,Vibrio sp. 10N.3,NoInf
1.032.O.,Vibrio sp. 10N.4,NoInf
1.032.O.,Vibrio sp. 10N.5,NoInf
1.032.O.,Vibrio sp. F12,NoInf
1.032.O.,Vibrio sp. F13,NoInf
1.032.O.,Vibrio splendidus,Inf
1.032.O.,Vibrio tasmaniensis,NoInf
1.032.O.,Vibrio vulnificus,NoInf
1.033.O.,Aliivibrio fischeri,NoInf
1.033.O.,Enterovibrio norvegicus,NoInf
1.033.O.,Shewanella sp. 10N.6,NoInf
1.033.O.,Shewanella sp. 10N.7,NoInf
1.033.O.,Vibrio alginolyticus,NoInf
1.033.O.,Vibrio anguillarum,NoInf
1.033.O.,Vibrio breoganii,NoInf
1.033.O.,Vibrio cyclitrophicus,NoInf
1.033.O.,Vibrio jasicida,NoInf
1.033.O.,Vibrio kanaloae,NoInf
1.033.O.,Vibrio lentus,Inf
1.033.O.,Vibrio parahaemolyticus,NoInf
1.033.O.,Vibrio sp. 10N.1,NoInf
1.033.O.,Vibrio sp. 10N.2,NoInf
1.033.O.,Vibrio sp. 10N.3,NoInf
1.033.O.,Vibrio sp. 10N.4,NoInf
1.033.O.,Vibrio sp. 10N.5,NoInf
1.033.O.,Vibrio sp. F12,NoInf
1.033.O.,Vibrio sp. F13,NoInf
1.033.O.,Vibrio splendidus,NoInf
1.033.O.,Vibrio tasmaniensis,NoInf
1.033.O.,Vibrio vulnificus,NoInf
1.034.O.,Aliivibrio fischeri,NoInf
1.034.O.,Enterovibrio norvegicus,NoInf
