	host	virus	Infection
639	S. kloosii	PG-2021_6	0
640	S. kloosii	PG-2021_90	0
641	S. kloosii	PG-2021_94	0
642	S. kloosii	PG-2021_93	0
643	S. kloosii	PG-2021_89	0
644	S. lentus	PG-2021_9	1
645	S. lentus	PG-2021_38	0
646	S. lentus	PG-2021_16	0
647	S. lentus	PG-2021_84	0
648	S. lentus	PG-2021_15	0
649	S. lentus	PG-2021_45	0
650	S. lentus	PG-2021_17	1
651	S. lentus	PG-2021_10	1
652	S. lentus	PG-2021_86	0
653	S. lentus	PG-2021_85	1
654	S. lentus	PG-2021_48	0
655	S. lentus	PG-2021_2	0
656	S. lentus	PG-2021_29	0
657	S. lentus	PG-2021_87	1
658	S. lentus	PG-2021_8	0
659	S. lentus	PG-2021_64	0
660	S. lentus	PG-2021_47	0
661	S. lentus	PG-2021_34	0
662	S. lentus	PG-2021_20	0
663	S. lentus	PG-2021_49	0
664	S. lentus	PG-2021_18	0
665	S. lentus	PG-2021_21	0
666	S. lentus	PG-2021_30	0
667	S. lentus	PG-2021_35	0
668	S. lentus	PG-2021_36	0
669	S. lentus	PG-2021_69	0
670	S. lentus	PG-2021_58	0
671	S. lentus	PG-2021_57	0
672	S. lentus	PG-2021_65	0
673	S. lentus	PG-2021_81	0
674	S. lentus	PG-2021_83	0
675	S. lentus	PG-2021_66	0
676	S. lentus	PG-2021_56	0
677	S. lentus	PG-2021_71	0
678	S. lentus	PG-2021_1	0
679	S. lentus	PG-2021_62	0
680	S. lentus	PG-2021_75	0
681	S. lentus	PG-2021_61	0
682	S. lentus	PG-2021_79	0
683	S. lentus	PG-2021_60	0
684	S. lentus	PG-2021_5	0
685	S. lentus	PG-2021_74	0
686	S. lentus	PG-2021_88	0
687	S. lentus	PG-2021_82	0
688	S. lentus	PG-2021_44	1
689	S. lentus	PG-2021_80	0
690	S. lentus	PG-2021_54	0
691	S. lentus	PG-2021_63	1
692	S. lentus	PG-2021_73	0
693	S. lentus	PG-2021_72	0
694	S. lentus	PG-2021_7	0
695	S. lentus	PG-2021_25	1
696	S. lentus	PG-2021_19	0
697	S. lentus	PG-2021_78	1
698	S. lentus	PG-2021_3	1
699	S. lentus	PG-2021_77	0
700	S. lentus	PG-2021_37	1
701	S. lentus	PG-2021_53	1
