hostname,phagename,infection
Shigella_boydii,NC_026010,NoInf
Shigella_flexneri,NC_026010,Inf
Shigella_sonnei,NC_026010,NoInf
Pseudomonas_aeruginosa,NC_026586,Inf
Pseudomonas_aeruginosa,NC_026587,Inf
Pseudomonas_aeruginosa,NC_026594,Inf
Pseudomonas_aeruginosa,NC_026599,Inf
Pseudomonas_aeruginosa,NC_026600,Inf
Pseudomonas_aeruginosa,NC_026601,Inf
Pseudomonas_aeruginosa,NC_026602,Inf
Escherichia_coli,NC_026607,NoInf
Listeria_monocytogenes,NC_026607,NoInf
Pseudomonas_fluorescens,NC_026607,NoInf
Pseudomonas_putrefaciens,NC_026607,NoInf
Pseudomonas_taetrolens,NC_026607,NoInf
Salmonella_enterica,NC_026607,Inf
Staphylococcus_aureus,NC_026607,NoInf
Vibrio_parahaemolyticus,NC_026607,NoInf
Vibrio_cholerae,NC_027118,Inf
Rhizobium_etli,NC_027296,Inf
Bacillus_cereus,NC_027352,Inf
Bacillus_licheniformis,NC_027352,NoInf
Bacillus_megaterium,NC_027352,NoInf
Bacillus_pumilus,NC_027352,NoInf
Bacillus_sphaericus,NC_027352,NoInf
Bacillus_subtilis,NC_027352,NoInf
Bacillus_thuringiensis,NC_027352,Inf
Bacillus_weihenstephanensis,NC_027352,Inf
Cronobacter_sakazakii,NC_027352,NoInf
Escherichia_coli,NC_027352,NoInf
Listeria_monocytogenes,NC_027352,NoInf
Salmonella_enterica,NC_027352,NoInf
Staphylococcus_aureus,NC_027352,NoInf
Escherichia_coli,NC_027375,NoInf
Listeria_monocytogenes,NC_027375,NoInf
Proteus_mirabilis,NC_027375,NoInf
Pseudomonas_aeruginosa,NC_027375,Inf
Salmonella_enterica,NC_027375,NoInf
Staphylococcus_aureus,NC_027375,NoInf
Escherichia_coli,NC_027387,Inf
Salmonella_enterica,NC_027387,Inf
Shigella_boydii,NC_027387,NoInf
Shigella_dysentriae,NC_027387,Inf
Shigella_sonnei,NC_027387,Inf
Bacillus_subtilis,NC_027388,NoInf
Escherichia_coli,NC_027388,NoInf
Klebsiella_pneumoniae,NC_027388,NoInf
Pseudomonas_aeruginosa,NC_027388,Inf
Salmonella_enterica,NC_027388,NoInf
Staphylococcus_aureus,NC_027388,NoInf
Achromobacter_xylosoxidans,NC_028695,NoInf
Acinetobacter_baumannii,NC_028695,NoInf
Citrobacter_freundii,NC_028695,NoInf
Enterobacter_aerogenes,NC_028695,Inf
Enterobacter_cloacae,NC_028695,NoInf
Enterobacter_sakazakii,NC_028695,NoInf
Escherichia_coli,NC_028695,NoInf
Pseudomonas_aeruginosa,NC_028695,NoInf
Raoultella_ornithinolytica,NC_028695,NoInf
Serratia_marcescens,NC_028695,NoInf
Shigella_sonnei,NC_028695,NoInf
Vibrio_parahaemolyticus,NC_028695,NoInf
Pseudomonas_aeruginosa,NC_028745,Inf
Bacillus_borstelensis,NC_028758,NoInf
Bacillus_licheniformis,NC_028758,NoInf
Bacillus_megaterium,NC_028758,NoInf
Bacillus_pumilus,NC_028758,NoInf
Bacillus_subtilis,NC_028758,NoInf
Brevibacillus_brevis,NC_028758,Inf
Brevibacillus_laterosporus,NC_028758,NoInf
Delftia_acidovorans,NC_028758,NoInf
Enterococcus_faecalis,NC_028758,NoInf
Gluconobacter_oxydans,NC_028758,NoInf
Janthinobacterium_lividum,NC_028758,NoInf
Kocuria_rosea,NC_028758,NoInf
Lactobacillus_crispatus,NC_028758,NoInf
Paenibacillus_alvei,NC_028758,Inf
